CASO,TOMA_1,TOMA_2,TOMA_3,TOMA_4
B009,2,0,1,0
B010,1,1,2,2
B034,1,2,2,1
B055,2,2,1,1
B056,2,1,2,0
B057,2,1,2,1
B066,1,2,1,0
B071,2,1,0,0
B077,1,2,1,1
B079,0,1,1,2
B090,2,2,2,1
B011,2,0,0,1
B054,2,0,2,0
B080,1,2,0,1
B081,2,1,2,2
B001,2,2,0,0
B003,2,1,0,1
B005,2,2,0,2
B006,2,0,0,1
B036,1,2,2,1
B037,0,1,1,1
B052,2,1,1,0
B053,1,1,0,0
B060,2,2,1,0
B073,0,0,2,0
B076,1,2,1,0
B084,2,2,0,1
B085,2,2,2,1
B002,2,2,1,2
B007,2,1,1,0
B008,2,1,2,2
B038,2,2,2,2
B039,2,0,0,0
B074,2,2,2,1
B075,2,1,1,2
B082,1,1,0,0
B086,2,2,2,2
B059,1,1,0,1
